LoanId,MaxDPD
92253635,8
92253651,3
92243046,-2
92243105,2
92246115,-20
92227001,-2
92234442,-17
92223089,117
92223091,0
92223098,116
92223141,-5
92199373,-13
92225586,6
92225591,-18
92225719,-25
92230242,-2
92230247,-1
92230266,-2
92211219,133
92211225,0
92211236,130
92211417,0
92211482,-1
92225502,52
92252538,-1
92252551,-24
92221766,-8
92221803,0
92221831,0
92221854,0
92221869,-9
92221870,118
92221902,-18
92221916,118
92221960,-2
92222018,-18
92222032,-20
92222034,-1
92222073,-16
92222080,1
92222097,-23
92222099,-25
92222120,115
92222165,116
92222170,-3
92222171,1
92222175,-29
92222231,-3
92222248,118
92222300,0
92222304,0
92222350,-25
92235104,-10
92235135,100
92241600,91
92251742,2
92251753,0
92251767,0
92251781,2
92251812,36
92233512,0
92233597,0
92233674,-1
92226814,109
92226831,-5
92234307,101
92234341,-6
92234358,98
92234406,99
92251071,80
92251094,79
92215543,40
92215584,-2
92215588,-1
92215595,-1
92215612,2
92225155,112
92225229,3
92231315,-1
92231352,0
92231360,-5
92231361,77
92231370,-8
92231371,-22
92231416,-15
92235405,98
92235492,99
92235531,14
92235661,-27
92235675,0
92235741,-6
92237817,-25
92237872,96
92238026,95
92238105,-7
92238141,3
92228430,0
92209905,0
92248943,80
92248977,33
92248990,3
92249062,-27
92249064,-22
92249098,-10
92249102,13
92249114,-5
92249128,82
92249173,82
92249186,82
92249229,6
92249271,16
92249278,-6
92249371,82
92249413,5
92249419,-18
92249445,51
92249446,-5
92249469,-20
92249480,-1
92246524,80
92246634,-3
92246702,-7
92246704,0
92229363,108
92229375,0
92229386,-3
92229422,-16
92229445,-26
92229470,-11
92241202,-9
92241271,-1
92231503,67
92231529,4
92231536,-6
92231541,105
92207040,0
92207119,-26
92233708,-10
92233729,-4
92234202,-1
92234225,101
92234260,0
92234294,101
92234316,-19
92234352,5
92224994,3
92225018,-8
92225097,3
92225159,1
92225234,-9
92225300,9
92209014,-5
92209033,96
92220623,2
92220769,-21
92220781,0
92220799,117
92224616,-11
92233188,0
92233218,103
92233225,103
92233259,0
92233281,1
92241031,89
92243615,0
92243639,1
92245316,82
92251083,80
92251108,77
92226268,24
92238455,0
92238492,-10
92233413,102
92233431,101
92220906,0
92220935,-26
92220943,-2
92254218,-25
92254223,75
92254291,-26
92254313,76
92220641,120
92220662,-1
92220682,-19
92220695,2
92220711,1
92220724,120
92220748,-21
92220774,3
92221185,-20
92221199,119
92244233,0
92244299,87
92204070,-4
92218698,1
92223784,6
92223786,-1
92223790,-11
92223794,-15
92230664,77
92233619,0
92233624,0
92233658,101
92233678,0
92213016,-18
92213063,-20
92213299,0
92213446,8
92240774,-56
92240777,8
92243100,12
92197026,129
92253379,-15
92253381,-3
92225189,3
92225314,0
92225335,-1
92225357,114
92225363,-9
92219139,89
92230945,0
92231000,3
92231040,106
92231103,105
92231181,-26
92241118,90
92221889,118
